"season","week","team","rating"
"2013","1","KC",1533
"2013","1","DEN",1531
"2013","1","MIA",1526
"2013","1","DET",1524
"2013","1","TEN",1521
"2013","1","PHI",1519
"2013","1","SF",1519
"2013","1","NO",1519
"2013","1","SEA",1518
"2013","1","DAL",1518
"2013","1","IND",1516
"2013","1","HOU",1514
"2013","1","STL",1514
"2013","1","CHI",1514
"2013","1","NE",1511
"2013","1","NYJ",1507
"2013","1","TB",1493
"2013","1","BUF",1489
"2013","1","CIN",1486
"2013","1","ARI",1486
"2013","1","SD",1486
"2013","1","OAK",1484
"2013","1","NYG",1482
"2013","1","CAR",1482
"2013","1","ATL",1481
"2013","1","GB",1481
"2013","1","WSH",1481
"2013","1","PIT",1479
"2013","1","MIN",1476
"2013","1","CLE",1474
"2013","1","BAL",1469
"2013","1","JAX",1467
"2013","10","KC",1642
"2013","10","DEN",1638
"2013","10","SEA",1630
"2013","10","NO",1630
"2013","10","NE",1594
"2013","10","CAR",1583
"2013","10","SF",1572
"2013","10","CIN",1565
"2013","10","IND",1564
"2013","10","DET",1557
"2013","10","GB",1539
"2013","10","DAL",1514
"2013","10","CHI",1509
"2013","10","BAL",1508
"2013","10","PHI",1508
"2013","10","ARI",1495
"2013","10","SD",1495
"2013","10","TEN",1484
"2013","10","MIA",1482
"2013","10","NYJ",1477
"2013","10","CLE",1463
"2013","10","STL",1462
"2013","10","PIT",1422
"2013","10","OAK",1414
"2013","10","WSH",1413
"2013","10","NYG",1399
"2013","10","MIN",1388
"2013","10","HOU",1379
"2013","10","BUF",1364
"2013","10","ATL",1358
"2013","10","TB",1345
"2013","10","JAX",1207
"2013","11","DEN",1662
"2013","11","NO",1642
"2013","11","SEA",1641
"2013","11","KC",1618
"2013","11","CAR",1599
"2013","11","CIN",1586
"2013","11","NE",1579
"2013","11","IND",1575
"2013","11","SF",1556
"2013","11","DET",1541
"2013","11","PHI",1523
"2013","11","CHI",1523
"2013","11","GB",1522
"2013","11","DAL",1514
"2013","11","ARI",1502
"2013","11","MIA",1499
"2013","11","BAL",1495
"2013","11","SD",1480
"2013","11","TEN",1468
"2013","11","STL",1462
"2013","11","PIT",1457
"2013","11","NYJ",1454
"2013","11","NYG",1439
"2013","11","OAK",1430
"2013","11","CLE",1425
"2013","11","BUF",1408
"2013","11","WSH",1386
"2013","11","TB",1372
"2013","11","HOU",1359
"2013","11","MIN",1344
"2013","11","ATL",1333
"2013","11","JAX",1168
"2013","12","DEN",1651
"2013","12","NO",1646
"2013","12","SEA",1641
"2013","12","CAR",1610
"2013","12","KC",1609
"2013","12","NE",1597
"2013","12","CIN",1586
"2013","12","SF",1572
"2013","12","IND",1547
"2013","12","ARI",1544
"2013","12","DET",1533
"2013","12","DAL",1525
"2013","12","PHI",1523
"2013","12","GB",1522
"2013","12","BAL",1519
"2013","12","SD",1500
"2013","12","STL",1499
"2013","12","CHI",1496
"2013","12","PIT",1483
"2013","12","TEN",1482
"2013","12","MIA",1479
"2013","12","NYG",1423
"2013","12","NYJ",1423
"2013","12","OAK",1413
"2013","12","BUF",1408
"2013","12","TB",1394
"2013","12","CLE",1394
"2013","12","HOU",1348
"2013","12","WSH",1345
"2013","12","MIN",1344
"2013","12","ATL",1309
"2013","12","JAX",1202
"2013","13","SEA",1675
