"boxscore.id","game.date","game.time","game.stadium","game.city","espn.id.away","espn.id.home","team.score.away","team.score.home","attendance"
"330905007","September 5, 2013","8:30 PM ET","Sports Authority Field at Mile High","Denver, CO ","BAL","DEN",27,49,76977
"330908002","September 8, 2013","1:00 PM ET","Ralph Wilson Stadium","Buffalo, NY ","NE","BUF",23,21,69519
"330908003","September 8, 2013","1:00 PM ET","Soldier Field","Chicago, IL ","CIN","CHI",21,24,62213
"330908005","September 8, 2013","1:00 PM ET","FirstEnergy Stadium","Cleveland, OH ","MIA","CLE",23,10,62461
"330908006","September 8, 2013","8:30 PM ET","AT&T Stadium","Arlington, TX ","NYG","DAL",31,36,85348
"330908008","September 8, 2013","1:00 PM ET","Ford Field","Detroit, MI ","MIN","DET",24,34,62461
"330908011","September 8, 2013","1:00 PM ET","Lucas Oil Stadium","Indianapolis, IN ","OAK","IND",17,21,65412
"330908014","September 8, 2013","4:25 PM ET","Edward Jones Dome","Saint Louis, MO ","ARI","STL",24,27,55279
"330908018","September 8, 2013","1:00 PM ET","Mercedes-Benz Superdome","New Orleans, LA ","ATL","NO",17,23,72348
"330908020","September 8, 2013","1:00 PM ET","MetLife Stadium","East Rutherford, NJ ","TB","NYJ",17,18,76957
"330908023","September 8, 2013","1:00 PM ET","Heinz Field","Pittsburgh, PA ","TEN","PIT",16,9,61585
"330908025","September 8, 2013","4:25 PM ET","Candlestick Park","San Francisco, CA ","GB","SF",28,34,69732
"330908029","September 8, 2013","1:00 PM ET","Bank of America Stadium","Charlotte, NC ","SEA","CAR",12,7,73294
"330908030","September 8, 2013","1:00 PM ET","EverBank Field","Jacksonville, FL ","KC","JAX",28,2,59416
"330909024","September 9, 2013","10:25 PM ET","Qualcomm Stadium","San Diego, CA ","HOU","SD",31,28,59522
"330909028","September 9, 2013","6:55 PM ET","FedEx Field","Landover, MD ","PHI","WSH",33,27,82743
"330912017","September 12, 2013","8:25 PM ET","Gillette Stadium","Foxboro, MA ","NYJ","NE",10,13,68756
"330915001","September 15, 2013","1:00 PM ET","Georgia Dome","Atlanta, GA ","STL","ATL",24,31,70056
"330915002","September 15, 2013","1:00 PM ET","Ralph Wilson Stadium","Buffalo, NY ","CAR","BUF",23,24,67819
"330915003","September 15, 2013","1:00 PM ET","Soldier Field","Chicago, IL ","MIN","CHI",30,31,62181
"330915009","September 15, 2013","1:00 PM ET","Lambeau Field","Green Bay, WI ","WSH","GB",20,38,78020
"330915011","September 15, 2013","1:00 PM ET","Lucas Oil Stadium","Indianapolis, IN ","MIA","IND",24,20,65406
"330915012","September 15, 2013","1:00 PM ET","Arrowhead Stadium","Kansas City, MO ","DAL","KC",16,17,76592
"330915013","September 15, 2013","4:25 PM ET","O.co Coliseum","Oakland, CA ","JAX","OAK",9,19,49400
"330915019","September 15, 2013","4:25 PM ET","MetLife Stadium","East Rutherford, NJ ","DEN","NYG",41,23,81285
"330915021","September 15, 2013","1:00 PM ET","Lincoln Financial Field","Philadelphia, PA ","SD","PHI",33,30,69144
"330915022","September 15, 2013","4:05 PM ET","U of Phoenix Stadium","Glendale, AZ ","DET","ARI",21,25,60034
"330915026","September 15, 2013","8:30 PM ET","CenturyLink Field","Seattle, WA ","SF","SEA",3,29,68338
"330915027","September 15, 2013","4:05 PM ET","Raymond James Stadium","Tampa, FL ","NO","TB",16,14,60870
"330915033","September 15, 2013","1:00 PM ET","M&T Bank Stadium","Baltimore, MD ","CLE","BAL",6,14,71098
"330915034","September 15, 2013","1:00 PM ET","NRG Stadium","Houston, TX ","TEN","HOU",24,30,71718
"330916004","September 16, 2013","8:30 PM ET","Paul Brown Stadium","Cincinnati, OH ","PIT","CIN",10,20,64585
"330919021","September 19, 2013","8:25 PM ET","Lincoln Financial Field","Philadelphia, PA ","KC","PHI",26,16,69144
"330922004","September 22, 2013","1:00 PM ET","Paul Brown Stadium","Cincinnati, OH ","GB","CIN",30,34,64633
"330922006","September 22, 2013","1:00 PM ET","AT&T Stadium","Arlington, TX ","STL","DAL",7,31,80848
"330922010","September 22, 2013","1:00 PM ET","LP Field","Nashville, TN ","SD","TEN",17,20,69143
"330922015","September 22, 2013","4:05 PM ET","Sun Life Stadium","Miami, FL ","ATL","MIA",23,27,70660
"330922016","September 22, 2013","1:00 PM ET","Mall of America Field","Minneapolis, MN ","CLE","MIN",31,27,63672
"330922017","September 22, 2013","1:00 PM ET","Gillette Stadium","Foxboro, MA ","TB","NE",3,23,68756
"330922018","September 22, 2013","1:00 PM ET","Mercedes-Benz Superdome","New Orleans, LA ","ARI","NO",7,31,73057
"330922020","September 22, 2013","4:25 PM ET","MetLife Stadium","East Rutherford, NJ ","BUF","NYJ",20,27,76597
"330922023","September 22, 2013","8:30 PM ET","Heinz Field","Pittsburgh, PA ","CHI","PIT",40,23,61575
"330922025","September 22, 2013","4:25 PM ET","Candlestick Park","San Francisco, CA ","IND","SF",27,7,69732
"330922026","September 22, 2013","4:25 PM ET","CenturyLink Field","Seattle, WA ","JAX","SEA",17,45,68087
"330922028","September 22, 2013","1:00 PM ET","FedEx Field","Landover, MD ","DET","WSH",27,20,80111
"330922029","September 22, 2013","1:00 PM ET","Bank of America Stadium","Charlotte, NC ","NYG","CAR",0,38,73748
"330922033","September 22, 2013","1:00 PM ET","M&T Bank Stadium","Baltimore, MD ","HOU","BAL",9,30,71168
"330923007","September 23, 2013","8:30 PM ET","Sports Authority Field at Mile High","Denver, CO ","OAK","DEN",21,37,76978
"330926014","September 26, 2013","8:25 PM ET","Edward Jones Dome","Saint Louis, MO ","SF","STL",35,11,56640
"330929001","September 29, 2013","8:30 PM ET","Georgia Dome","Atlanta, GA ","NE","ATL",30,23,70744
"330929002","September 29, 2013","1:00 PM ET","Ralph Wilson Stadium","Buffalo, NY ","BAL","BUF",20,23,68296
"330929005","September 29, 2013","1:00 PM ET","FirstEnergy Stadium","Cleveland, OH ","CIN","CLE",6,17,71481
"330929007","September 29, 2013","4:25 PM ET","Sports Authority Field at Mile High","Denver, CO ","PHI","DEN",20,52,77002
"330929008","September 29, 2013","1:00 PM ET","Ford Field","Detroit, MI ","CHI","DET",32,40,64552
"330929010","September 29, 2013","4:05 PM ET","LP Field","Nashville, TN ","NYJ","TEN",13,38,69143
"330929012","September 29, 2013","1:00 PM ET","Arrowhead Stadium","Kansas City, MO ","NYG","KC",7,31,73386
"330929013","September 29, 2013","4:25 PM ET","O.co Coliseum","Oakland, CA ","WSH","OAK",24,14,53549
